school_number,school,year,meet,sport,event,division,rank,source
410230,府中西,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,B組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/d561582e9acf3539f4c9a76ff302fd4f-1.pdf
410240,国立,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,A組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/a05c33982e146a93e87d9b9a635ebaed.pdf
410240,国立,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,B組,,金賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/3d48d95b16a2ffd6ce9242fd8a9f2a6b.pdf
410240,国立,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,C組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/b7ce6a09e040af45476be5a780be11c7.pdf
410240,国立,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,B組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/14B.pdf
410240,国立,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,C組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/14C.pdf
410240,国立,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,B組,,金賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/34a0a8684a4a5dde7c2f7f49cdd146f4-3.pdf
410240,国立,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,C組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/3a7f12fc7d75f389b7699ec6d069c857.pdf
410250,永山,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,C組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/ba579a8411d950a64621fd883ab21b16.pdf
410250,永山,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,C組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/13C.pdf
410250,永山,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,C組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/8048f64de0e35faf3b1e3242a3a4515a.pdf
410610,第五商業,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,C組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/bc1617a16c8e43a4934b54c400f159f1.pdf
410610,第五商業,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,C組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/bb46b813d7292eef7aa357dc1d245884-1.pdf
410610,第五商業,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,C組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/13C.pdf
410610,第五商業,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,C組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/8048f64de0e35faf3b1e3242a3a4515a.pdf
411910,大島海洋国際,令和8年度,東京都高等学校吹奏楽コンクール（第66回）,吹奏楽,C組,,金賞,https://tokousuiren.com/wp/wp-content/uploads/2026/08/3a7f12fc7d75f389b7699ec6d069c857.pdf
413010,八丈,令和5年度,東京都高等学校吹奏楽コンクール（第63回）,吹奏楽,東日本組,,銀賞,https://tokousuiren.com/wp/wp-content/uploads/2023/08/d221af7ecb0b3d65068c0af0f09c560e-1.pdf
413010,八丈,令和6年度,東京都高等学校吹奏楽コンクール（第64回）,吹奏楽,東日本組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2024/08/5fbc23275411a8bbfdfa5630a0e937ad.pdf
413010,八丈,令和7年度,東京都高等学校吹奏楽コンクール（第65回）,吹奏楽,東日本組,,銅賞,https://tokousuiren.com/wp/wp-content/uploads/2025/08/fbc2abb6220515108b6f8c5f839217e1.pdf
